slug,displayName,status,issues,website,pagesFetched,email,phone,teamType,serviceModel,heroImage
maria-lipka,Maria Lipka,WARN,site_text_no_accounting_keywords;email_missing;hero_image_fallback,https://fachowaksiegowa.pl,1,,61 852 46 85,jednoosobowe,stacjonarnie,/images/hero-accountant.jpg
marta-sowa,Marta Sowa,PASS,,https://ksiegowa-sowa.pl,6,biuro@ksiegowa-sowa.pl,606 553 563,wieloosobowe,stacjonarnie,https://www.ksiegowa-sowa.pl/wp-content/uploads/2017/10/fotolia_92959736-1.jpg
md-biuro-rachunkowe-ma-gorzata-dudziak,Md Biuro Rachunkowe Małgorzata Dudziak,PASS,,https://md-biurorachunkowe.com,4,malgorzata@md-biurorachunkowe.com,666 166 136,wieloosobowe,stacjonarnie,"https://static.wixstatic.com/media/cfdc16074caf46c9b84dd58ff3eca864.jpg/v1/fill/w_940,h_440,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/klawiatura.jpg"
mega-lex-corp,Mega Lex Corp,PASS,,https://megalex.pl,2,kontakt@megalex.pl,731 317 777,jednoosobowe,stacjonarnie,https://megalex.pl/_next/static/chunks/images/content/48e04091-bc26-407b-8198-faedfc4546fa_1920.jpg
nowypit-pl-biuro-prawno-rachunkowe,Nowypit.pl Biuro Prawno Rachunkowe,PASS,,https://nowypit.pl,5,biuro@nowypit.pl,690 299 277,wieloosobowe,stacjonarnie,https://nowypit.pl/wp-content/uploads/2025/09/Lekarz-KSeF.png
optimum-accounting-office-poznan,OPTIMUM - Accounting Office Poznan,PASS,,https://optimumbiuro.com.pl,6,optimum@optimumbiuro.com.pl,692 247 448,wieloosobowe,hybrydowo,https://optimumbiuro.com.pl/wp-content/uploads/2025/06/businesswoman-meeting-financial-advisor-discuss-bu-2025-03-23-19-38-15-utc-Large.jpeg
pg-partner-gospodarczy,PG Partner Gospodarczy,PASS,,https://partner-gospodarczy.pl,6,zapytania@partner-gospodarczy.pl,536 169 066,wieloosobowe,hybrydowo,https://partner-gospodarczy.pl/wp-content/uploads/sites/6/2024/03/biuro29_hero.png
pietkun-kancelaria-rachunkowa,Pietkun Kancelaria Rachunkowa,WARN,phone_not_seen_on_site,https://pietkunkancelaria.pl,6,sekretariat@pietkunkancelaria.pl,518 607 207,wieloosobowe,hybrydowo,https://pietkunkancelaria.pl/wp-content/uploads/2021/12/pexels-fauxels-1024x682.jpg
polskie-centrum-rachunkowosci,Polskie Centrum Rachunkowości,WARN,hero_image_fallback,https://polskiecentrumrachunkowosci.pl,1,biuro@polskiecentrumrachunkowosci.pl,61 250 24 33,jednoosobowe,stacjonarnie,/images/hero-accountant.jpg
profit-biuro-rachunkowe,Profit. Biuro rachunkowe,PASS,,https://profitrachunki.pl,3,biuro@profitrachunki.pl,514 955 639,jednoosobowe,stacjonarnie,http://www.profitrachunki.pl/images/start_image_gora.png
renata-pempera-biuro-rachunkowe,Renata Pempera Biuro Rachunkowe,PASS,,https://pempera.pl,5,biuro@pempera.pl,663 705 354,wieloosobowe,stacjonarnie,https://pempera.pl/images/design/kalkulator.png
smctax,SmcTax,WARN,site_text_no_accounting_keywords,https://smctax.pl,1,biuro@smctax.pl,513 669 044,nieokreslone,stacjonarnie,https://www.smctax.pl/images/system-messages.jpg
sobieraj-i-kuzmin-sp-z-o-o-biuro-rachunkowe-poznan,Sobieraj i Kuźmin Sp. z o.o. Biuro rachunkowe Poznań,PASS,,https://doradztwopodatkowe-sik.pl,5,biuro@doradztwopodatkowe-sik.pl,61 877 51 11,wieloosobowe,stacjonarnie,https://doradztwopodatkowe-sik.pl/wp-content/uploads/2023/09/hero-home.jpg
spectrum-biuro-rachunkowe,Spectrum Biuro Rachunkowe,PASS,,https://biuro-spectrum.pl,4,kontakt@biuro-spectrum.pl,519 642 268,wieloosobowe,stacjonarnie,https://biuro-spectrum.pl/wp-content/uploads/2025/02/kontakt-Edyta1-1.jpg
taxcoach-sp-z-o-o-biuro-rachunkowe,TaxCoach Sp. z o.o. Biuro rachunkowe,PASS,,https://taxcoach.pl,6,ksiegowosc@taxcoach.pl,665 553 120,wieloosobowe,hybrydowo,https://taxcoach.pl/img/sections/tax-office.jpg
taxshield-biuro-rachunkowe-online,TaxShield Biuro Rachunkowe Online,PASS,,https://taxshield.pl,1,biuro@taxshield.pl,531 331 479,wieloosobowe,hybrydowo,https://taxshield.pl/img/download/social.png
taxeo-accounting-office-poznan,Taxeo Accounting Office Poznań,PASS,,https://gdansk.taxeo.pl,6,biuro@taxeo.pl,22 382 58 00,wieloosobowe,hybrydowo,https://gdansk.taxeo.pl/wp-content/uploads/2025/09/biuro-rachunkowe-1.jpg
taxodus-biuro-ksiegowe-poznan-awica-biuro-rachunkowe,Taxodus Biuro Księgowe Poznań Ławica Biuro Rachunkowe,WARN,phone_not_seen_on_site,https://taxodus.pl,6,sekretariat@taxodus.pl,537 700 174,wieloosobowe,stacjonarnie,https://taxodus.pl/images/ksiegowosc-poziom.jpg
vespa-biuro-rachunkowe,VESPA Biuro Rachunkowe,PASS,,https://ksiegowepoznan.pl,6,biuro@ksiegowepoznan.pl,505 666 999,wieloosobowe,stacjonarnie,https://www.ksiegowepoznan.pl/grafika/baner/baner_4.jpg
wikom-biuro-rachunkowe,Wikom Biuro Rachunkowe,PASS,,https://wikombiuro.pl,6,wikom@wikombiuro.pl,61 863 02 81,wieloosobowe,hybrydowo,https://wikombiuro.pl/wp-content/uploads/2021/12/adam-foto.webp
zmarz-jolanta-biuro-rachunkowe,Zmarz Jolanta. Biuro rachunkowe,WARN,site_text_no_accounting_keywords;hero_image_fallback,https://zmarz.poznan.pl,1,kontakt@xxl.pl,604 727 527,jednoosobowe,stacjonarnie,/images/hero-accountant.jpg
booq-sp-z-o-o,booq sp. z o.o,PASS,,https://booq.com.pl,6,biuro@booq.com.pl,61 623 32 62,wieloosobowe,stacjonarnie,https://booq.com.pl/wp-content/uploads/2019/11/Żaneta-Sroka.jpg
bras7-pl-biuro-rachunkowe,bras7.pl Biuro Rachunkowe,PASS,,https://bras7.pl,6,biuro.rachunkowe.sniatkowski@bras7.pl,61 852 00 77,wieloosobowe,stacjonarnie,https://www.bras7.pl/grafika/biurorachunkowe.png
infakt,inFakt,WARN,site_text_no_accounting_keywords;phone_not_seen_on_site;hero_image_fallback,https://infakt.pl,1,info@infakt.pl,787 918 139,nieokreslone,stacjonarnie,/images/hero-accountant.jpg
