"additionalInfo/info/Accessibility/0","additionalInfo/info/Accessibility/1","additionalInfo/info/Accessibility/2","additionalInfo/info/Accessibility/3","additionalInfo/info/Amenities/0","additionalInfo/info/Crowd/0","additionalInfo/info/Crowd/1","additionalInfo/info/From the business/0","additionalInfo/info/Parking/0","additionalInfo/info/Parking/1","additionalInfo/info/Parking/2","additionalInfo/info/Planning/0","additionalInfo/info/Planning/1","additionalInfo/info/Service options/0","additionalInfo/info/Service options/1","address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","cid","city","country","country_code","country_name","display_rank","gid","isClaimed","language_code","language_name","latitude","longDescription","longitude","name","neighborhood","original_rank","phone","phoneIsd","photo","photoCount","placeId","priceRange","priceRangeText","providerId","rating","reviewCount","searchLocation","searchTerm","shortDescription","social/facebook/0","social/instagram/0","social/linkedin/0","social/twitter/0","social/youtube/0","state","status","street","timestamp","uncertain_emails/0","uncertain_emails/1","uncertain_emails/2","uncertain_emails/3","uncertain_emails/4","uncertain_emails/5","uncertain_emails/6","uncertain_emails/7","url","website","website_emails/0","website_emails/1","website_emails/2","website_emails/3","website_emails/4","website_emails/5","website_emails/6","website_emails/7","website_emails/8","website_emails/9","website_emails/10","website_emails/11","zip"
"Wheelchair accessible restroom","Wheelchair accessible seating","Wheelchair accessible entrance","Wheelchair accessible parking lot","Gender-neutral restroom","Transgender safespace","LGBTQ+ friendly",,"Paid street parking","Paid parking lot",,,,"Onsite services",,"Strzelecka 29A/lok.39, II Piętro, 61-846 Poznań, Poland","Accountant","Accounting firm","Bookkeeping service",,,,,,,"8008769734804174271","Poznań","PL","us","United States","22","0x47045be7b344defb:0x6f24dda43ae6f5bf","Yes","en","English","52.402579499999995","","16.934635999999998","Certyfikowane Biuro Rachunkowe RZIS.pl","Stare Miasto","1","667 009 907","+48 667 009 907","https://lh3.googleusercontent.com/gps-cs-s/AHVAweqxI42jQEC1PNo5h-fNrjnGzOtmcKdgvC7Mna7uIljl6yugn02yRsSqPczhnwhcC9FjiZRr7uZywAQO1-Jir2rnuAo6ZO4fEiW8-MVGpy8Ral3KvswewVXn3n2NawmxRHJ7Gvx0=w4608-h3456-k-no","8","YEeoaaHGGM2hptQP2Yvr8Ak","","","/g/11y46ngtpc","4.9","159","Poznan, Polska","biuro rachunkowe","","https://www.facebook.com/rzispl",,,,,"","Open","Strzelecka 29A/lok.39, II Piętro","2026-03-04 15:53:21.049900","iod@m3mcom.pl","kontakt@funduszfilar.pl","dburke@libertyvillageny.org","biuro@strategodk.pl","info@infakt.pl",,,,"https://google.com/maps?cid=8008769734804174271","https://rzis.pl","kontakt@rzis.pl",,,,,,,,,,,,"61-846"
"Wheelchair accessible entrance","Wheelchair accessible parking lot",,,,"Transgender safespace","LGBTQ+ friendly","Identifies as women-owned","Free parking lot","Free street parking",,"Appointment required","Appointments recommended","Onsite services","Online appointments","Grunwaldzka 112, 60-308 Poznań, Poland","Accountant","Accounting firm","Bookkeeping service","Certified public accountant","Tax consultant","Tax preparation",,,,"6574154923815419146","Poznań","PL","us","United States","23","0x4704451fd29678fd:0x5b3c171264673d0a","Yes","en","English","52.395748","","16.8647554","Biuro Rachunkowe Poznań ""KZ""","Grunwald","2","61 291 71 98","+48 61 291 71 98","https://lh3.googleusercontent.com/gps-cs-s/AHVAwep2n3Ly8O7SAwuKfC3ECTc_hFGdG6sTYqisITUqDh309dh1kCKlKS0K6a03kBLurzV-tstLHMVXFtq_YMzs7PT555-PT_rovJ8fw98GBVjpXjiCkcXKoDfKsKN_2BOZPSaenMJTFmyzeygt=w1224-h836-k-no","444","YEeoaaHGGM2hptQP2Yvr8Ak","","","/g/1td3k8z3","5","107","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Grunwaldzka 112","2026-03-04 15:53:21.049925",,,,,,,,,"https://google.com/maps?cid=6574154923815419146","https://brkz.pl",,,,,,,,,,,,,"60-308"
"Wheelchair accessible entrance","Wheelchair accessible parking lot",,,,,,,,,,,,,,"Święty Marcin 29/8, 61-806 Poznań, Poland","Accountant","Accounting firm","Auditor","Bookkeeping service","Business to business service","Income tax help association","Tax consultant","Tax preparation","Tax preparation service","6368642601112662508","Poznań","PL","us","United States","24","0x470445ec0c3a579d:0x5861f6b404bd71ec","Yes","en","English","52.4060808","","16.9259241","Biuro rachunkowe ATP","Stare Miasto","3","604 087 850","+48 604 087 850","https://lh3.googleusercontent.com/gps-cs-s/AHVAweoZ5phBll3e0pSexBFVjmMnVsmiV5ykpCqqlO-j6nzra0yigwm11N9q2ti7kwOddf4pqSIpe47xGdA4KBhLJ8yKZ_-NDeWvybaWkYsDLAq_725ab-UjRfkepWERyfQobQO_7G3GSA=w1200-h628-k-no","18","YEeoaaHGGM2hptQP2Yvr8Ak","","","/g/11jfrmd0ft","4.9","54","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Święty Marcin 29/8","2026-03-04 15:53:21.049942",,,,,,,,,"https://google.com/maps?cid=6368642601112662508","https://atpksiegowosc.pl",,,,,,,,,,,,,"61-806"
"Wheelchair accessible entrance","Wheelchair accessible parking lot",,,,,,"Identifies as women-owned",,,,,,,,"Promienista 62/4, 60-289 Poznań, Poland","Accountant","Accounting firm","Bookkeeping service","Tax preparation","Tax preparation service",,,,,"1740941729263870881","Poznań","PL","us","United States","25","0x470445dacd83c5c5:0x18291147636d63a1","Yes","en","English","52.393338299999996","","16.878939199999998","Biuro Rachunkowe Value Business - Księgowość","Grunwald","4","784 920 193","+48 784 920 193","https://lh3.googleusercontent.com/gps-cs-s/AHVAwer7nA4OqNz_cULsH7bcMWeJPCs9MqFEk-smAcMWIxho7sOaf77rAoOkgGPQ6wbQFsgG0NDuVyQ8HtoW3NCjqiP6Ftu_2wT80lrO9EgCm5iWwg0LoAJjQOcJVDO6eKVaLPqFHo24=w3260-h2777-k-no","17","YEeoaaHGGM2hptQP2Yvr8Ak","","","/g/11gxwr2152","4.9","67","Poznan, Polska","biuro rachunkowe","","https://www.facebook.com/sharer.php?u=https%3a%2f%2fwww.valuebusiness.pl%2fco-zyskujesz%2f",,,"https://twitter.com/intent/tweet?text=co%20zyskujesz%20?&#038;url=https%3a%2f%2fwww.valuebusiness.pl%2fco-zyskujesz%2f",,"","Open","Promienista 62/4","2026-03-04 15:53:21.049958","vendorregistration@heathtx.com","accountspayable@heathtx.com","security@ovic.vic.gov.au","info@hyattsville.org",,,,,"https://google.com/maps?cid=1740941729263870881","https://valuebusiness.pl","biuro@valuebusiness.pl",,,,,,,,,,,,"60-289"
"Wheelchair accessible seating","Wheelchair accessible entrance","Wheelchair accessible restroom",,"Gender-neutral restroom","Transgender safespace","LGBTQ+ friendly","Identifies as women-owned","Paid parking lot",,,,,"Onsite services",,"Centrum Biurowe, Winogrady, Gronowa 22/117, 61-655 Poznań, Poland","Accountant","Accounting firm","Bookkeeping service","Income tax help association","Tax preparation","Tax preparation service",,,,"4340081207709606124","Poznań","PL","us","United States","26","0x470444aad5999ae7:0x3c3b10dd19e120ec","Yes","en","English","52.430121199999995","","16.9345206","Business Profit Biuro Rachunkowe","Stare Miasto","5","663 944 465","+48 663 944 465","https://lh3.googleusercontent.com/gps-cs-s/AHVAweq16JLbmfINF5zG4UZ4POwARX5TCaR4wQoJRhv2ggkugcNa_sULj818d5yCLsTEokinp-blZiWpyQ4nGMR3I2No8D-vee-NM7_2-FNpiFYqPaf5g5lX9w_s-OQwT3-OPBGBO8s=w960-h796-k-no","8","YEeoaaHGGM2hptQP2Yvr8Ak","","","/g/11b6jk3hgt","5","43","Poznan, Polska","biuro rachunkowe","","https://www.facebook.com/biuro.profit.poznan/",,,,,"","Open","Centrum Biurowe, Winogrady, Gronowa 22/117","2026-03-04 15:53:21.050007","admin@eacd.org","honorata@amu.edu.pldominika","wojciech.rosikiewicz@stjude.org",,,,,,"https://google.com/maps?cid=4340081207709606124","https://profit-poznan.pl","biuro@profit-poznan.pl",,,,,,,,,,,,"61-655"
,,,,,,,,,,,,,,,"Szkolna 5/18, 61-832 Poznań, Poland","Accounting firm",,,,,,,,,"16647423895022108182","Poznań","PL","us","United States","27","0x47045bf96cae545f:0xe70787d4a8247e16","Yes","en","English","52.4069374","","16.9322431","Biuro Rachunkowe TAXO","Stare Miasto","6","61 307 01 77","+48 61 307 01 77","https://lh3.googleusercontent.com/gps-cs-s/AHVAwepp5BUM8kQEd8skhTbOZtvRZSMVOJzaGxMgMHdw236lxJArVGmSsUV32hlDrzndK3blokoQ_i-db2Hj0ah3ShFsHwY35CgkWHfkAfG0PCUoZPPV3KfY_uIESwcqsykboBEky8qycYP0i2sA=w1155-h732-k-no","8","YEeoaaHGGM2hptQP2Yvr8Ak","","","/g/11f5q8yr6r","4.8","125","Poznan, Polska","biuro rachunkowe","","https://www.facebook.com/taxoacc",,"https://www.linkedin.com/company/taxoacc/",,,"","Open","Szkolna 5/18","2026-03-04 15:53:21.050030","biuro@taxeo.pl",,,,,,,,"https://google.com/maps?cid=16647423895022108182","https://taxo-acc.pl","kontakt@taxo-acc.pl",,,,,,,,,,,,"61-832"
"Wheelchair accessible seating","Wheelchair accessible restroom",,,"Gender-neutral restroom","Transgender safespace","LGBTQ+ friendly","Identifies as women-owned",,,,,,,,"Jana Henryka Dąbrowskiego 553, 60-451 Poznań, Poland","Accountant","Accounting firm","Auditor","Bookkeeping service","Tax consultant","Tax preparation",,,,"3624049052990834205","Poznań","PL","us","United States","28","0x470444e96dac4b5f:0x324b3569a41c061d","Yes","en","English","52.4339314","","16.79967","Biuro Rachunkowe Poznań 👑 Noblesse","Jeżyce, Poznań","7","61 842 68 40","+48 61 842 68 40","https://lh3.googleusercontent.com/gps-cs-s/AHVAwerNsshYLrGfs9CMxVdzYR15dgeKa3lVcopNDg15GZxFOrpjg7OGvC9laBb62wbMjG2ytAAP_rJw_8Sei-1lACrMhFcwzxcEN-xcyEfYZBnsyLtbUy3CFf_jbntXK2pSUY2icw=w6720-h4480-k-no","40","YEeoaaHGGM2hptQP2Yvr8Ak","","","/g/1td0f5_1","4.9","60","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Jana Henryka Dąbrowskiego 553","2026-03-04 15:53:21.050056",,,,,,,,,"https://google.com/maps?cid=3624049052990834205","https://noblesse.com.pl",,,,,,,,,,,,,"60-451"
"Wheelchair accessible parking lot",,,,,,,,,,,,,"Onsite services","Online appointments","Mławska 11, 60-461 Poznań, Poland","Bookkeeping service","Accountant","Tax preparation",,,,,,,"191621486762362956","Poznań","PL","us","United States","29","0x4704439394a8946b:0x2a8c6ba19cd884c","Yes","en","English","52.4582329","","16.8481892","Biuro Rachunkowe - Podatkowe Zacisze","Jeżyce, Poznań","8","500 276 004","+48 500 276 004","https://lh3.googleusercontent.com/gps-cs-s/AHVAwerQhTsk4a3oh8VlA5Q3NGVgjKjfFuCma1OrNuvXGP652v7MeAfEbSeEZoZ1oc5jmOu3srMPfbShpwVrLdujbX7Ss5q27vDYImzbIetklF56BRem0cCXp5RXA1-Z7eqj8UBuZ_I=w500-h500-k-no","2","YEeoaaHGGM2hptQP2Yvr8Ak","","","/g/1trts__h","5","41","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Mławska 11","2026-03-04 15:53:21.050071","marek.karasiewicz@kttax.pl","office@taxservices.pl","kancelaria@mf.gov.pl",,,,,,"https://google.com/maps?cid=191621486762362956","https://podatkowezacisze.pl","biuro@podatkowezacisze.pl",,,,,,,,,,,,"60-461"
"Wheelchair accessible seating","Wheelchair accessible restroom",,,"Gender-neutral restroom","Transgender safespace","LGBTQ+ friendly",,,,,,,,,"Strzelecka 29A, 61-846 Poznań, Poland","Accounting firm",,,,,,,,,"14346577789574688851","Poznań","PL","us","United States","30","0x47045bad8fb93769:0xc719487cfa1bb053","Yes","en","English","52.402579499999995","","16.934635999999998","Biuro Rachunkowe BRKM","Stare Miasto","9","604 179 541","+48 604 179 541","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QNB2njeVVvisd8qwPu_h0g&cb_client=search.gws-prod.gps&w=80&h=92&yaw=352.2942&pitch=0&thumbfov=100","1","YEeoaaHGGM2hptQP2Yvr8Ak","","","/g/11v003dhct","4.9","58","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Strzelecka 29A","2026-03-04 15:53:21.050086",,,,,,,,,"https://google.com/maps?cid=14346577789574688851","https://brkm.com.pl",,,,,,,,,,,,,"61-846"
"Wheelchair accessible seating",,,,"Gender-neutral restroom","Transgender safespace","LGBTQ+ friendly",,,,,,,"Onsite services","Online appointments","Piekary 19/lok. 201, 61-823 Poznań, Poland","Tax preparation service",,,,,,,,,"6301119467730893576","Poznań","PL","us","United States","31","0x47045b8a6263545b:0x577212c56965fb08","Yes","en","English","52.405134999999994","","16.9271522","Taxeo Accounting Office Poznań - Accounting Poznań","Stare Miasto","10","22 382 58 00","+48 22 382 58 00","https://lh3.googleusercontent.com/gps-cs-s/AHVAweoC6jQpwiJXdD_uBnjWoVvaycravI0ZoBrg5YxUL_2-v2lX0QHMtTl2lVUVIuPDCSpkx0lKWp-tnATD594nv8193zqtDg9nsCCtG940VLM48c15ZsqiZm-2LWrJEg_sxL-nNXWH=w663-h510-k-no","17","YEeoaaHGGM2hptQP2Yvr8Ak","","","/g/11vsd1x5nb","5","22","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Piekary 19/lok. 201","2026-03-04 15:53:21.050102",,,,,,,,,"https://google.com/maps?cid=6301119467730893576","https://gdansk.taxeo.pl",,,,,,,,,,,,,"61-823"
"Wheelchair accessible entrance","Wheelchair accessible restroom",,,"Gender-neutral restroom",,,"Identifies as women-owned",,,,,,"Onsite services",,"Bogusławskiego 30/5, 60-214 Poznań, Poland","Accountant","Accounting firm","Bookkeeping service","Chartered accountant","Tax preparation",,,,,"15065432835462475823","Poznań","PL","us","United States","32","0x470444d5f5a35a8f:0xd1132b58013f302f","Yes","en","English","52.392402999999995","","16.8928109","AK-PLUS Biuro Rachunkowe Anna Klupczyńska","Grunwald","11","601 781 634","+48 601 781 634","https://lh3.googleusercontent.com/gps-cs-s/AHVAwephqc3Os3yhy2fCnQPNF-cK8GzE_7c8b1lHN-0SoQh6WG4nyDP4fM8ySPSN6KsgECJsWmhdjr2y4cZ0Qp7_HIdq_l8iAx1UlwQ2JrTz15Wu8cUWP6wSGDu4PgxtOGLQ_eOqTDQ=w1100-h618-k-no","10","YEeoaaHGGM2hptQP2Yvr8Ak","","","/g/11hzm2lg1h","4.1","10","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Bogusławskiego 30/5","2026-03-04 15:53:21.050118",,,,,,,,,"https://google.com/maps?cid=15065432835462475823","https://biurorachunkowe-poznan.eu",,,,,,,,,,,,,"60-214"
"Wheelchair accessible entrance",,,,,,,,,,,,,,,"Dziewińska 74, 60-178 Poznań, Poland","Accountant",,,,,,,,,"10790724569612056047","Poznań","PL","us","United States","33","0x47044506df295f17:0x95c05ad308ce75ef","Yes","en","English","52.3935993","","16.838898099999998","Biuro Rachunkowe Dino","Grunwald","12","61 862 27 86","+48 61 862 27 86","https://lh3.googleusercontent.com/gps-cs-s/AHVAweqwZpKC7voOVP4hT-L8SZSJg3l8XPhReBD9BXNvDHYvLkdY5jvSQX6mdCq4rYEdlqJx9uB5m6cGxjyRYqrf0n74SzgZe4XbgNgBqtAl08zDRjZKOzpPVep4VCDe4ZDH_0wMWp8tvA=w3648-h2736-k-no","4","YEeoaaHGGM2hptQP2Yvr8Ak","","","/g/1xfsmfs6","4.7","12","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Dziewińska 74","2026-03-04 15:53:21.050131","sekretariat@marketdino.pl","johnsmith@marketdino.pl","bok@marketdino.pl",,,,,,"https://google.com/maps?cid=10790724569612056047","https://dino.poznan.pl",,,,,,,,,,,,,"60-178"
"Wheelchair accessible entrance","Wheelchair accessible parking lot",,,,"Transgender safespace","LGBTQ+ friendly","Identifies as women-owned",,,,,,,,"Os. na Murawie 8N/lok. 1, 61-655 Poznań, Poland","Accountant","Accounting firm","Bookkeeping service","E commerce agency","Income tax help association","Tax consultant","Tax preparation","Tax preparation service",,"11061511486533646120","Poznań","PL","us","United States","34","0x47045b9b5917f2b5:0x9982621731bdb728","Yes","en","English","52.4281715","","16.935389999999998","Biuro Rachunkowe INFINITUM księgowość e-commerce","Stare Miasto","13","504 227 204","+48 504 227 204","https://lh3.googleusercontent.com/gps-cs-s/AHVAweqAuemEH0gofvOo-zRtGjvFX7tqdQb8B0meTp2nm5Capnt1Spe8Qe4uY440zWcYM_bt4JFXtB12LSx9Tad9SD9fy17Y6ZWC5SYW4DiIU_eYiwWC9KvDQRmAtszrm1bk5dXLR1IUrw=w3648-h2736-k-no","26","YEeoaaHGGM2hptQP2Yvr8Ak","","","/g/11fhr9tmm2","5","69","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Os. na Murawie 8N/lok. 1","2026-03-04 15:53:21.050144",,,,,,,,,"https://google.com/maps?cid=11061511486533646120","https://infinitum-biurorachunkowe.pl",,,,,,,,,,,,,"61-655"
"Wheelchair accessible entrance",,,,,,,"Identifies as women-owned","Free street parking",,,,,,,"Skawińska 40, 61-333 Poznań, Poland","Accountant","Accounting firm","Bookkeeping service","Certified public accountant","Tax preparation service",,,,,"5130588311811740684","Poznań","PL","us","United States","35","0x47044546264850a1:0x473382e2f64f540c","Yes","en","English","52.3397213","","16.928699599999998","Biuro Rachunkowe Wera","Nowe Miasto","14","783 015 011","+48 783 015 011","https://lh3.googleusercontent.com/gps-cs-s/AHVAweonyFZz2BpwDy70Wk2_665bFzLrG8pyezpTkbumoYoC_2_BmRughoih1LNq_ISloEwgIxGkGjyQ9fh_RSVx9wFOaun_9zFaJX3pLxpg-izKWZAQ6yRMbdvRf_GP3bIJ5b3j_tzv=w512-h512-k-no","4","YEeoaaHGGM2hptQP2Yvr8Ak","","","/g/11y1s4wcb","4.8","21","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Skawińska 40","2026-03-04 15:53:21.050159",,,,,,,,,"https://google.com/maps?cid=5130588311811740684","https://wera360.pl",,,,,,,,,,,,,"61-333"
"Wheelchair accessible entrance","Wheelchair accessible parking lot",,,,,,,,,,,,,,"os. Bolesława Chrobrego 39/112, 60-681 Poznań, Poland","Accountant",,,,,,,,,"12421868855685055476","Poznań","PL","us","United States","36","0x470443456e46043f:0xac6357e90d9883f4","Yes","en","English","52.445651999999995","","16.915072","Biuro Rachunkowe PIT","Stare Miasto","15","61 822 63 97","+48 61 822 63 97","https://lh3.googleusercontent.com/gps-cs-s/AHVAwepTXFd_H7zMAfhXghPafr26eVFR-NM5vYxooX9vyT9s8g0siBXYllzQYRhQx8RUn3PQv32VQc1Ebg-qi477XUa19zrCFvsjt-xJ2QtrSyBH0mtViaMhFf3BCZu7ibUaxfS0iNo=w5760-h3840-k-no","14","YEeoaaHGGM2hptQP2Yvr8Ak","","","/g/1w3459v4","4.9","31","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","os. Bolesława Chrobrego 39/112","2026-03-04 15:53:21.050176","bok@pitbull.pl","kontakt@vbiuro.com","biuro@biuroplus.pl","biuro@pidpolska.pl","biuro@pit-elk.pl","rodo@interbiuro.pl","biuro@fiorentini.com",,"https://google.com/maps?cid=12421868855685055476","https://pitbiuro.pl","biuro@pitbiuro.pl",,,,,,,,,,,,"60-681"
"Wheelchair accessible seating",,,,,,,"Identifies as women-owned",,,,,,"Onsite services",,"osiedle Rusa 54/9, 61-245 Poznań, Poland","Accountant","Accounting firm","Bookkeeping service","Tax preparation",,,,,,"1633526891867921110","Poznań","PL","us","United States","37","0x47045b35310e6bc7:0x16ab740da8d5dad6","Yes","en","English","52.391327","","16.9868913","Biuro rachunkowe Poznań Nowoczesne Systemy Finansowe","Nowe Miasto","16","661 660 071","+48 661 660 071","https://lh3.googleusercontent.com/gps-cs-s/AHVAwernRdi9YJHihNk-YYmPoR1I3tG-Tkly_pv2bLlqiF4lz5m9HkJt9rslRGMwphoh_yNGJqjDh6i3OMPEpvL-sXY3kUGTq5Ih-7KDcrGskVMsUV8JjcnwfBULDjjXt1cTSF2Q_FO5VQ=w2560-h1440-k-no","16","YEeoaaHGGM2hptQP2Yvr8Ak","","","/g/1tfghj9r","5","21","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","osiedle Rusa 54/9","2026-03-04 15:53:21.050195",,,,,,,,,"https://google.com/maps?cid=1633526891867921110","https://nsf.com.pl",,,,,,,,,,,,,"61-245"
"Wheelchair accessible entrance",,,,"Gender-neutral restroom",,,"Identifies as women-owned",,,,,,"Onsite services",,"Perzycka 22, 60-182 Poznań, Poland","Accountant","Accounting firm","Bookkeeping service","Legal services","Tax consultant","Tax preparation","Tax preparation service",,,"12775354338054249193","Poznań","PL","us","United States","38","0x47044448e60d6e55:0xb14b2d156f781ae9","Yes","en","English","52.411921199999995","","16.8187704","Taxodus Biuro Księgowe Poznań Ławica Biuro Rachunkowe - Księgowość Kadry i Płace","Grunwald","17","537 700 174","+48 537 700 174","https://lh3.googleusercontent.com/gps-cs-s/AHVAweqt4deCLpWyjA-qz-vhzt-NQQGrYrMog5-dgHzODgM7zE0tHTzDfzkiepUcDs_2S5_J-KRejc4e9Vm5uCwAq35RmHGlJuQSX85wq2WJROZYw7Ad5SZ0XIYYh_EZpjqlhm1YSA=w2121-h1414-k-no","15","YEeoaaHGGM2hptQP2Yvr8Ak","","","/g/11ckqn8_n4","4.9","31","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Perzycka 22","2026-03-04 15:53:21.050210","sekretariat@taxodus.pl",,,,,,,,"https://google.com/maps?cid=12775354338054249193","https://taxodus.pl",,,,,,,,,,,,,"60-182"
,,,,,,,"Identifies as women-owned",,,,,,"Onsite services","Online appointments","Międzychodzka 2/8, 60-371 Poznań, Poland","Bookkeeping service",,,,,,,,,"4808026243770998178","Poznań","PL","us","United States","39","0x2ba12d93a5b8b375:0x42b98a650ab9dda2","Yes","en","English","52.4048241","","16.878209599999998","Biuro Rachunkowe MS Monika Stefaniak Poznań","Grunwald","18","503 553 249","+48 503 553 249","https://lh3.googleusercontent.com/gps-cs-s/AHVAwerrdPELjUubmkTbZRbBJdxf-ehyRq1dORHcUncr2OuvmfzxEvuSAsTTS3DRGGGNHG2gAOoPh5PZXINMHxXzREDz__dXUZbnWZQi6DxocoDDOtwcBElGzWPNBumwyZL_C6fV9kss=w1200-h1041-k-no","4","YEeoaaHGGM2hptQP2Yvr8Ak","","","/g/11x1xx826t","5","31","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Międzychodzka 2/8","2026-03-04 15:53:21.050224","dariusz.jarmoc@livros-kancelaria.pl","kontakt@biurorada.pl","cecylia@biurorachunkoweglowacka.pl","m.sienkowska@wp.pl","biuro@efkasc.pl",,,,"https://google.com/maps?cid=4808026243770998178","https://biurorachunkowems.pl",,,,,,,,,,,,,"60-371"
,,,,,,,,"Free parking lot","On-site parking",,,,,,"Wilczak 14A/214, 61-623 Poznań, Poland","Accountant","Accounting firm","Bookkeeping service","Income tax help association","Tax consultant","Tax preparation","Tax preparation service",,,"6886557626039215992","Poznań","PL","us","United States","40","0x47045dacc59919df:0x5f91f7aca1532778","Yes","en","English","52.429733399999996","","16.9512183","Biuro Rachunkowe Poznań - Ingenium Sp. z o.o.","Stare Miasto","19","517 230 852","+48 517 230 852","https://lh3.googleusercontent.com/gps-cs-s/AHVAweoCuHxO2rPZkK4BP2xUwZcxF0GDjl_6RD6WHscGVpAeFhaXJKrwmsE0qNFPRh709ejO2tcCN0RQo5z8IMgWCDWh0m8jtndmj8S7yvsuZjzW5B_NfSknmZgpEWBYGO-ycbh5o6e1KbH1HVU=w5712-h4284-k-no","7","YEeoaaHGGM2hptQP2Yvr8Ak","","","/g/11h10fqrlg","5","13","Poznan, Polska","biuro rachunkowe","","https://www.facebook.com/privacy/",,,,,"","Open","Wilczak 14A/214","2026-03-04 15:53:21.050237","katarzyna.murdoch@echo.com.pl","info@editeur.org","flavio@bgfconsultoria.com.br",,,,,,"https://google.com/maps?cid=6886557626039215992","https://br-ingenium.pl","info@br-ingenium.pl",,,,,,,,,,,,"61-623"
,,,,,,,,"Paid street parking","Paid parking garage",,,,"Onsite services",,"Ulica Karola Libelta 1A, 61-706 Poznań, Poland","Accountant","Accounting firm","Bookkeeping service","Tax consultant","Tax preparation",,,,,"10691589210664888296","Poznań","PL","us","United States","41","0x47045bd48308c4d3:0x946027bd9a1467e8","Yes","en","English","52.4099564","","16.9234278","Sobieraj i Kuźmin Sp. z o.o. Biuro rachunkowe Poznań - KSIĘGOWOŚĆ | KADRY | DORADZTWO PODATKOWE","Stare Miasto","40","61 877 51 11","+48 61 877 51 11","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-qfhHx8oI19KFnDa2cHsJw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=234.23859&pitch=0&thumbfov=100","1","YEeoaffoGPCA5OMPjM_WkQ4","","","/g/11qnqtvv87","5","24","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Ulica Karola Libelta 1A","2026-03-04 15:53:21.058172",,,,,,,,,"https://google.com/maps?cid=10691589210664888296","https://doradztwopodatkowe-sik.pl",,,,,,,,,,,,,"61-706"
,,,,,,,,,,,"Appointment required",,"Onsite services","Online appointments","Osiedle Zwycięstwa 7, domofon 160, 61-645 Poznań, Poland","Accountant","Accounting firm",,,,,,,,"7599970751365498274","Poznań","PL","us","United States","42","0x47045b3713bae843:0x69788521ca7fc5a2","Yes","en","English","52.442208","","16.9278764","Fineko. Accounting Poznan","Stare Miasto","41","697 162 826","+48 697 162 826","https://lh3.googleusercontent.com/gps-cs-s/AHVAwergf_BtuEWxuwENQdsesYIDgIih2AOLE-Rwlv-TsD89843WAXzIPmLkl6Eo32atlWhFmWk3jUs4yj75pU7h21o1BFC3NZtShymjy67JLDDRF-rElGa7kB0M4Ev0jxOkXx1LUwqS=w1047-h1050-k-no","5","YEeoaffoGPCA5OMPjM_WkQ4","","","/g/1hhlsgvpf","5","13","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Osiedle Zwycięstwa 7, domofon 160","2026-03-04 15:53:21.058225",,,,,,,,,"https://google.com/maps?cid=7599970751365498274","https://fineko.com.pl",,,,,,,,,,,,,"61-645"
"Wheelchair accessible seating",,,,,,,,,,,,,,,"Wierzbięcice 44a/lok. 40A, 61-568 Poznań, Poland","Accountant","Accounting firm","Bookkeeping service","Financial planner","Tax consultant","Tax preparation","Virtual office rental",,,"17872758480663917601","Poznań","PL","us","United States","43","0x47045b8ab93622ed:0xf808cb24ec52b421","Yes","en","English","52.3940554","","16.921581","TaxCoach Sp. z o.o. Biuro rachunkowe - KSIĘGOWOŚĆ | KADRY | PODATKI | ZARZĄDZANIE FINANSAMI | KONSULTING FINANSOWY","Wilda, Poznań","42","665 553 120","+48 665 553 120","https://lh3.googleusercontent.com/gps-cs-s/AHVAwerJb0VpcYYQwxsx3Ei3RndKmyiNJaqfqGUJPzQjX00m8fDwXD-Wimj9FtMKmOFdlIXd9wu-Y6L1C1UXHIU97Q9nUzfgYGBg3Tb9TJ-fV29Qk8qhipVNzD_o6suBFUHpDD43k1oWWdpm2ABA=w6123-h4082-k-no","8","YEeoaffoGPCA5OMPjM_WkQ4","","","/g/11j03tzgt6","4.5","77","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Wierzbięcice 44a/lok. 40A","2026-03-04 15:53:21.058244",,,,,,,,,"https://google.com/maps?cid=17872758480663917601","https://taxcoach.pl",,,,,,,,,,,,,"61-568"
